OnsetTime	OffsetTime	MidiPitch
0.500004	0.550001	21
0.560005	0.610002	22
0.620006	0.670003	23
0.680007	0.730004	24
0.740009	0.790005	25
0.80001	0.850006	26
0.860011	0.910007	27
0.920012	0.970008	28
0.980013	1.03001	29
1.04001	1.09001	30
1.10001	1.15001	31
1.16002	1.21001	32
1.22002	1.27001	33
1.28002	1.33001	34
1.34002	1.39002	35
1.40002	1.45002	36
1.46002	1.51002	37
1.52002	1.57002	38
1.58002	1.63002	39
1.64002	1.69002	40
1.70003	1.75002	41
1.76003	1.81002	42
1.82003	1.87002	43
1.88003	1.93002	44
1.94003	1.99003	45
2.00003	2.05003	46
2.06003	2.11003	47
2.12003	2.17003	48
2.18003	2.23003	49
2.24003	2.29003	50
2.30004	2.35003	51
2.36004	2.41003	52
2.42004	2.47003	53
2.48004	2.53004	54
2.54004	2.59004	55
2.60004	2.65004	56
2.66004	2.71004	57
2.72004	2.77004	58
2.78004	2.83004	59
2.84005	2.89004	60
2.90005	2.95004	61
2.96005	3.01004	62
3.02005	3.07005	63
3.08005	3.13005	64
3.14005	3.19005	65
3.20005	3.25005	66
3.26005	3.31005	67
3.32005	3.37005	68
3.38005	3.43005	69
3.44006	3.49005	70
3.50006	3.55005	71
3.56006	3.61005	72
3.62006	3.67006	73
3.68006	3.73006	74
3.74006	3.79006	75
3.80006	3.85006	76
3.86006	3.91006	77
3.92006	3.97006	78
3.98007	4.03006	79
4.04007	4.09006	80
4.10007	4.15006	81
4.16007	4.21007	82
4.22007	4.27007	83
4.28007	4.33007	84
4.34007	4.39007	85
4.40007	4.45007	86
4.46007	4.51007	87
4.52007	4.57007	88
4.58008	4.63007	89
4.64008	4.69007	90
4.70008	4.75007	91
4.76008	4.81008	92
4.82008	4.87008	93
4.88008	4.93008	94
4.94008	4.99008	95
5.00008	5.05008	96
5.06008	5.11008	97
5.12009	5.17008	98
5.18009	5.23008	99
5.24009	5.29008	100
5.30009	5.35009	101
5.36009	5.41009	102
5.42009	5.47009	103
5.48009	5.53009	104
5.54009	5.59009	105
5.60009	5.65009	106
5.6601	5.71009	107
5.7201	5.77009	108
5.7801	5.83009	108
5.8401	5.89009	107
5.9001	5.9501	106
5.9601	6.0101	105
6.0201	6.0701	104
6.0801	6.1301	103
6.1401	6.1901	102
6.2001	6.2501	101
6.26011	6.3101	100
6.32011	6.3701	99
6.38011	6.4301	98
6.44011	6.49011	97
6.50011	6.55011	96
6.56011	6.61011	95
6.62011	6.67011	94
6.68011	6.73011	93
6.74011	6.79011	92
6.80012	6.85011	91
6.86012	6.91011	90
6.92012	6.97011	89
6.98012	7.03011	88
7.04012	7.09012	87
7.10012	7.15012	86
7.16012	7.21012	85
7.22012	7.27012	84
7.28012	7.33012	83
7.34012	7.39012	82
7.40013	7.45012	81
7.46013	7.51012	80
7.52013	7.57012	79
7.58013	7.63013	78
7.64013	7.69013	77
7.70013	7.75013	76
7.76013	7.81013	75
7.82013	7.87013	74
7.88013	7.93013	73
7.94014	7.99013	72
8.00014	8.05013	71
8.06014	8.11013	70
8.12014	8.17013	69
8.18014	8.23014	68
8.24014	8.29014	67
8.30014	8.35014	66
8.36014	8.41014	65
8.42014	8.47014	64
8.48014	8.53014	63
8.54015	8.59014	62
8.60015	8.65014	61
8.66015	8.71014	60
8.72015	8.77015	59
8.78015	8.83015	58
8.84015	8.89015	57
8.90015	8.95015	56
8.96015	9.01015	55
9.02015	9.07015	54
9.08016	9.13015	53
9.14016	9.19015	52
9.20016	9.25015	51
9.26016	9.31015	50
9.32016	9.37016	49
9.38016	9.43016	48
9.44016	9.49016	47
9.50016	9.55016	46
9.56016	9.61016	45
9.62016	9.67016	44
9.68017	9.73016	43
9.74017	9.79016	42
9.80017	9.85016	41
9.86017	9.91017	40
9.92017	9.97017	39
9.98017	10.0302	38
10.0402	10.0902	37
10.1002	10.1502	36
10.1602	10.2102	35
10.2202	10.2702	34
10.2802	10.3302	33
10.3402	10.3902	32
10.4002	10.4502	31
10.4602	10.5102	30
10.5202	10.5702	29
10.5802	10.6302	28
10.6402	10.6902	27
10.7002	10.7502	26
10.7602	10.8102	25
10.8202	10.8702	24
10.8802	10.9302	23
10.9402	10.9902	22
11.0002	11.0502	21
