OnsetTime	OffsetTime	MidiPitch
0.700003	1.40711	29
1.05356	1.70441	30
1.40711	2.00171	29
1.70441	2.2517	30
2.00171	2.5017	29
2.2517	2.71192	30
2.5017	2.92213	29
2.71192	3.09891	30
2.92213	3.27568	29
3.09891	3.42432	30
3.27568	3.57297	29
3.42432	3.69798	30
3.57297	3.82298	29
3.69798	3.9281	30
3.82298	4.03321	29
3.9281	4.12161	30
4.03321	4.21	29
4.12161	4.28432	30
4.21	4.35865	29
4.28432	4.42114	30
4.35865	4.48364	29
4.42114	4.5362	30
4.48364	4.58875	29
4.5362	4.63294	30
4.58875	4.67713	29
4.63294	4.71429	30
4.67713	4.75146	29
4.71429	4.7827	30
4.75146	5.01395	29
4.7827	5.01395	30
