OnsetTime	OffsetTime	MidiPitch
0.500004	0.85356	44
0.85356	1.20712	46
1.20712	1.50441	44
1.50441	1.80171	46
1.80171	2.0517	44
2.0517	2.3017	46
2.3017	2.51192	44
2.51192	2.72214	46
2.72214	2.89891	44
2.89891	3.07568	46
3.07568	3.22433	44
3.22433	3.37297	46
3.37297	3.49798	44
3.49798	3.62298	46
3.62298	3.7281	44
3.7281	3.83321	46
3.83321	3.92161	44
3.92161	4.01	46
4.01	4.08432	44
4.08432	4.15865	46
4.15865	4.22114	44
4.22114	4.28364	46
4.28364	4.3362	44
4.3362	4.38875	46
4.38875	4.43294	44
4.43294	4.47713	46
4.47713	4.51429	44
4.51429	4.55146	46
4.55146	4.5827	44
4.5827	4.61395	46
