OnsetTime	OffsetTime	MidiPitch
0.700003	1.40711	77
1.05356	1.70441	79
1.40711	2.00171	77
1.70441	2.2517	79
2.00171	2.5017	77
2.2517	2.71192	79
2.5017	2.92213	77
2.71192	3.09891	79
2.92213	3.27568	77
3.09891	3.42432	79
3.27568	3.57297	77
3.42432	3.69798	79
3.57297	3.82298	77
3.69798	3.9281	79
3.82298	4.03321	77
3.9281	4.12161	79
4.03321	4.21	77
4.12161	4.28432	79
4.21	4.35865	77
4.28432	4.42114	79
4.35865	4.48364	77
4.42114	4.5362	79
4.48364	4.58875	77
4.5362	4.63294	79
4.58875	4.67713	77
4.63294	4.71429	79
4.67713	4.75146	77
4.71429	4.7827	79
4.75146	5.01395	77
4.7827	5.01395	79
